                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9714,                 4.1742,                 1.6502,                0.00278,                0.42553,                0.00592,                0.00299,                  1.757,                 4.1398,                 1.4554,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.725,                  3.756,                  1.461,                0.00403,                0.61702,                0.10786,                0.06888,                 1.2718,                  3.682,                 1.1598,             0.00017941,             0.00017941,             0.00017941
                      3,                 1.5551,                 3.0826,                 1.3292,                0.00431,                0.65957,                0.26224,                0.14567,                 1.4638,                 3.3667,                 1.1216,             0.00027815,             0.00027815,             0.00027815
                      4,                 1.4494,                 2.4192,                 1.1641,                0.00472,                 0.7234,                0.34693,                0.17265,                 1.4158,                 3.3984,                 1.0859,             0.00037624,             0.00037624,             0.00037624
                      5,                 1.4522,                 2.2186,                 1.1696,                0.00458,                0.70213,                0.29402,                0.14651,                  1.404,                  3.373,                 1.1189,             0.00047366,             0.00047366,             0.00047366
                      6,                 1.4931,                 2.2928,                 1.2194,                0.00444,                0.68085,                0.23502,                0.14047,                 1.5421,                 3.3432,                  1.162,             0.00057043,             0.00057043,             0.00057043
                      7,                 1.5813,                 2.2303,                  1.242,                0.00486,                0.74468,                0.25047,                0.14244,                 1.5263,                 3.4341,                 1.1416,             0.00066654,             0.00066654,             0.00066654
                      8,                 1.4365,                 2.0824,                 1.2007,                 0.3454,                0.40426,                0.34314,                0.17564,                 1.4852,                 3.3799,                 1.1139,             0.00076198,             0.00076198,             0.00076198
                      9,                  1.515,                 2.0753,                 1.2516,                0.00528,                0.80851,                0.27659,                0.16708,                 1.4389,                 3.3854,                 1.1136,             0.00085677,             0.00085677,             0.00085677
                     10,                 1.4943,                 1.9193,                 1.1717,                0.00542,                0.82979,                0.25574,                0.16503,                 1.4995,                  3.281,                 1.1227,             0.00095089,             0.00095089,             0.00095089
                     11,                 1.4833,                 1.7072,                 1.1968,                      1,                0.14469,                0.52142,                0.28151,                 1.5336,                 2.9599,                 1.1495,              0.0010444,              0.0010444,              0.0010444
                     12,                 1.4203,                 1.8128,                 1.1707,                0.83602,                0.12766,                0.22942,                0.14258,                 1.5968,                  3.003,                 1.2182,              0.0011372,              0.0011372,              0.0011372
                     13,                 1.4148,                 1.8729,                 1.1635,                 0.2571,                0.10638,                 0.1262,                0.07508,                 1.6425,                 3.0261,                 1.2148,              0.0012293,              0.0012293,              0.0012293
                     14,                  1.503,                 1.7498,                 1.1832,                0.55884,                0.37745,                0.42166,                0.23471,                   1.58,                 2.7207,                 1.1678,              0.0013208,              0.0013208,              0.0013208
                     15,                 1.6059,                 1.8711,                 1.2045,                 0.7663,                0.42553,                 0.4895,                0.25987,                 1.6433,                 2.7371,                 1.2101,              0.0014116,              0.0014116,              0.0014116
                     16,                 1.4309,                 1.7443,                 1.1626,                0.49448,                0.39557,                0.36425,                0.20245,                 1.6201,                 2.6646,                 1.1972,              0.0015018,              0.0015018,              0.0015018
                     17,                  1.436,                 1.6463,                 1.1863,                0.35134,                0.29787,                0.25177,                0.11948,                 1.6687,                 2.7478,                 1.2288,              0.0015913,              0.0015913,              0.0015913
                     18,                 1.4022,                  1.594,                 1.1656,                0.40465,                0.34043,                0.32886,                0.17234,                 1.6507,                 2.7644,                 1.2852,              0.0016801,              0.0016801,              0.0016801
                     19,                 1.4418,                 1.7599,                 1.2534,                0.46888,                0.34043,                0.29688,                0.16526,                 1.6697,                 3.0711,                 1.3083,              0.0017683,              0.0017683,              0.0017683
                     20,                 1.5587,                 1.6385,                 1.2349,                0.76126,                0.33927,                0.38797,                0.22876,                  1.572,                 2.5997,                 1.2731,              0.0018559,              0.0018559,              0.0018559
                     21,                 1.4461,                 1.5711,                 1.2517,                0.94083,                0.33841,                0.44174,                 0.2696,                 1.5847,                 2.3449,                  1.287,               0.001868,               0.001868,               0.001868
                     22,                 1.5368,                 1.6229,                 1.2885,                0.87702,                0.34043,                0.43089,                0.26245,                 1.5974,                 2.3796,                 1.2627,               0.001868,               0.001868,               0.001868
                     23,                 1.5956,                 1.7374,                 1.3261,                0.78762,                0.34043,                0.41673,                0.22642,                 1.5954,                  2.309,                 1.3019,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5073,                  1.625,                 1.2623,                0.58329,                0.48936,                0.43577,                0.24461,                  1.767,                 2.2889,                  1.434,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3942,                 1.5492,                 1.2129,                0.62845,                0.43199,                0.43243,                 0.2353,                 1.7403,                 2.2901,                 1.3754,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.3934,                 1.4166,                 1.2172,                0.22588,                 0.2766,                0.12357,                0.06646,                 1.6304,                 2.5711,                 1.2989,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3581,                 1.4756,                  1.181,                0.13469,                0.34043,                0.10003,                0.05433,                 1.5896,                 2.9619,                  1.279,               0.001835,               0.001835,               0.001835
                     28,                 1.5788,                 1.4762,                 1.2229,                 0.5193,                0.45982,                0.42171,                0.23223,                 1.7622,                 2.3236,                 1.3954,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4877,                 1.4612,                 1.2071,                0.67351,                 0.5268,                0.49579,                0.26365,                 1.7959,                 2.1289,                 1.4488,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4863,                  1.444,                 1.2719,                0.60661,                 0.3617,                0.41537,                0.22211,                 2.0364,                 2.4939,                 1.6041,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4245,                 1.3649,                 1.2609,                0.68236,                0.44681,                0.50998,                0.29377,                 1.7185,                 2.2246,                 1.3571,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4664,                 1.3978,                 1.2501,                0.72472,                0.51064,                0.60199,                0.33835,                 1.6051,                 1.7944,                 1.2282,               0.001802,               0.001802,               0.001802
                     33,                 1.4796,                 1.3962,                 1.2637,                0.73877,                0.53191,                0.59328,                0.32067,                 1.7569,                  2.034,                 1.3231,              0.0017954,              0.0017954,              0.0017954
                     34,                  1.399,                 1.2897,                 1.2308,                 0.9559,                0.46139,                0.57255,                0.30621,                 1.7995,                 2.0943,                 1.3567,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.4171,                  1.255,                 1.2079,                0.73193,                0.51064,                  0.599,                 0.3249,                 1.6979,                 1.8285,                 1.3204,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4376,                 1.2992,                 1.2085,                0.73321,                0.53191,                0.61859,                 0.3238,                 1.7295,                 1.7228,                 1.3448,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.4027,                 1.2269,                 1.1651,                0.87589,                0.46809,                0.60338,                0.33901,                 1.7087,                 1.7588,                 1.3528,               0.001769,               0.001769,               0.001769
                     38,                 1.2309,                 1.1591,                 1.1254,                0.88293,                0.48161,                0.55889,                0.33234,                 1.7111,                 1.8298,                 1.3593,              0.0017624,              0.0017624,              0.0017624
                     39,                  1.398,                 1.2114,                 1.2321,                0.87761,                0.46809,                0.52021,                0.29231,                 1.9161,                 1.9423,                 1.4909,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4699,                 1.2672,                 1.2324,                  0.849,                0.47872,                0.53543,                0.30394,                 1.8965,                 1.7137,                 1.4365,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.4352,                 1.3001,                 1.2396,                 0.7462,                0.53191,                0.58116,                0.32054,                 1.7039,                 1.5749,                 1.2959,              0.0017426,              0.0017426,              0.0017426
                     42,                  1.308,                 1.2068,                 1.1224,                0.80988,                0.55319,                0.60462,                0.36549,                  1.566,                 1.6135,                 1.2161,               0.001736,               0.001736,               0.001736
                     43,                  1.406,                 1.2426,                 1.1407,                0.72816,                0.57447,                0.60892,                0.37072,                 1.5329,                 1.5293,                 1.1981,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4019,                 1.1558,                 1.1476,                0.77362,                0.50902,                0.58992,                0.35231,                 1.5156,                  1.713,                 1.1935,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.3914,                 1.1758,                 1.1711,                0.91066,                0.46809,                0.57636,                0.34543,                 1.5447,                 1.6546,                 1.2013,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2515,                 1.1493,                 1.1233,                0.73349,                0.51064,                0.57628,                0.33204,                 1.5802,                 1.5846,                 1.2251,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2704,                 1.1396,                 1.1443,                 0.6962,                0.51064,                 0.5341,                0.30499,                 1.5744,                 1.6422,                 1.2432,               0.001703,               0.001703,               0.001703
                     48,                 1.3065,                 1.0862,                 1.1774,                0.53579,                0.61702,                 0.5811,                0.33784,                 1.5441,                 1.5769,                 1.2509,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.2925,                 1.0367,                 1.1548,                0.64989,                  0.632,                0.63392,                0.35542,                 1.6096,                 1.4972,                 1.2798,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.3065,                 1.0651,                 1.1415,                0.67034,                0.68085,                0.66339,                0.37355,                 1.6363,                 1.4684,                 1.2852,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.3587,                 1.0838,                 1.1437,                0.65443,                0.65957,                0.66702,                0.40887,                 1.5561,                 1.4355,                 1.2489,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.4028,                 1.0627,                  1.243,                 0.7956,                0.57982,                0.69666,                0.40689,                 1.5727,                 1.5233,                 1.2575,                0.00167,                0.00167,                0.00167
                     53,                 1.3198,                 1.0704,                 1.1788,                0.77996,                0.60346,                0.70087,                0.41852,                  1.561,                 1.4136,                 1.2274,              0.0016634,              0.0016634,              0.0016634
                     54,                  1.365,                 1.0401,                 1.1769,                0.79618,                0.58191,                0.68746,                0.40128,                 1.5921,                 1.3924,                  1.241,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.4101,                 1.0418,                 1.1893,                0.82615,                0.57447,                0.70801,                0.42906,                 1.5246,                 1.3366,                 1.2187,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.3238,                0.99987,                 1.1586,                0.90495,                0.60788,                0.74212,                0.44194,                 1.4357,                 1.2579,                 1.1732,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.2244,                0.99526,                 1.1002,                0.98791,                0.57447,                 0.7451,                0.42276,                 1.5009,                 1.2554,                 1.1866,               0.001637,               0.001637,               0.001637
                     58,                 1.2323,                0.99071,                   1.13,                0.89041,                 0.6383,                0.72975,                0.40653,                 1.6018,                 1.3147,                 1.2067,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.1941,                0.93349,                 1.1167,                 0.9501,                0.59574,                0.70342,                0.38819,                 1.6769,                 1.4088,                 1.2273,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.2919,                0.99407,                 1.1221,                0.83988,                0.68085,                0.75303,                0.41674,                 1.6241,                 1.2428,                 1.2441,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.2165,                0.96037,                  1.103,                0.81976,                0.74468,                0.76778,                0.41771,                 1.5637,                 1.1891,                 1.2132,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.1992,                0.90976,                 1.1132,                0.82869,                 0.7234,                0.75696,                 0.4008,                 1.6804,                 1.2772,                 1.2452,               0.001604,               0.001604,               0.001604
                     63,                  1.192,                0.92866,                 1.0948,                0.88492,                0.65452,                0.73728,                 0.3906,                 1.6895,                 1.3311,                 1.2595,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.2519,                 1.0015,                 1.1473,                0.90821,                0.63173,                0.74972,                0.42631,                 1.6528,                 1.3381,                 1.2526,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.2602,                0.87999,                 1.0916,                0.87524,                 0.7234,                0.74574,                0.44862,                 1.5366,                 1.2784,                 1.1796,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.2566,                0.93241,                 1.1005,                0.92383,                 0.6383,                0.71954,                0.40708,                 1.5646,                 1.3513,                 1.1863,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.1995,                0.88994,                  1.112,                0.92398,                0.61702,                0.69054,                0.39505,                 1.6203,                 1.3558,                 1.2087,               0.001571,               0.001571,               0.001571
                     68,                 1.2228,                0.84889,                 1.1059,                0.78885,                0.63598,                0.68276,                0.35035,                 1.7405,                 1.3968,                 1.2756,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.2216,                0.90616,                 1.1387,                0.73593,                  0.593,                0.67416,                0.35927,                 1.7487,                 1.4404,                 1.2643,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1341,                0.81551,                 1.0614,                0.84216,                0.55319,                0.69595,                0.39342,                 1.6863,                 1.3179,                 1.2374,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.1952,                 0.8522,                 1.1248,                0.80738,                0.62441,                0.74658,                0.43494,                 1.5979,                 1.2539,                 1.2109,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.1732,                0.84186,                 1.1148,                0.79204,                0.70213,                0.74336,                0.45804,                 1.5899,                  1.339,                   1.24,               0.001538,               0.001538,               0.001538
                     73,                 1.1564,                0.87038,                 1.1075,                0.96648,                0.61365,                0.74015,                0.46346,                 1.5278,                 1.3492,                 1.2318,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.1174,                0.86623,                 1.0728,                      1,                0.59232,                0.74976,                 0.4598,                 1.5368,                 1.2874,                 1.2542,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.1134,                0.80311,                 1.0495,                0.78358,                0.68085,                0.74185,                0.45036,                 1.5402,                 1.2877,                 1.2751,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.1507,                0.90798,                 1.1133,                0.81589,                0.68085,                0.73259,                0.42446,                 1.5926,                  1.307,                 1.3195,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.1727,                0.85897,                 1.0783,                0.87034,                 0.6383,                0.72659,                0.43465,                 1.6081,                 1.3384,                  1.338,               0.001505,               0.001505,               0.001505
                     78,                 1.1699,                0.85818,                 1.1077,                 0.9245,                0.59574,                0.70993,                0.40927,                 1.6502,                 1.4533,                 1.3615,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.1263,                0.78556,                  1.078,                0.94542,                0.59574,                0.67417,                0.38887,                 1.6027,                 1.8347,                 1.3392,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.1123,                0.77717,                 1.0726,                0.78155,                0.57447,                0.59615,                0.35259,                 1.6799,                 3.4869,                 1.3633,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.1954,                0.82271,                 1.1266,                0.82772,                0.61341,                0.59338,                0.35334,                 1.6409,                 2.2875,                 1.3219,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0975,                 0.7999,                 1.0773,                0.81344,                0.59574,                 0.6233,                0.37253,                 1.6512,                 1.5774,                 1.2998,               0.001472,               0.001472,               0.001472
                     83,                 1.1227,                0.80365,                 1.0709,                0.80069,                0.61702,                0.66179,                0.39291,                 1.6169,                 1.3166,                 1.2919,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0966,                0.79076,                  1.063,                0.72914,                0.68741,                0.74217,                0.43854,                   1.63,                 1.1847,                 1.2839,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.2002,                0.81262,                 1.0963,                 0.9308,                0.57246,                0.74071,                0.39993,                 1.6665,                 1.1427,                 1.2846,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.1468,                0.77724,                 1.0791,                0.92121,                0.55319,                0.72278,                0.38568,                 1.6696,                 1.1786,                 1.2867,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.1406,                0.83694,                 1.0755,                0.86107,                0.53191,                0.68783,                0.38066,                 1.6507,                 1.1578,                 1.2735,               0.001439,               0.001439,               0.001439
                     88,                 1.1267,                0.78149,                 1.0554,                0.82698,                0.61032,                0.71863,                0.44409,                 1.5577,                 1.1205,                 1.2147,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0982,                0.76438,                 1.0443,                0.83894,                0.61702,                0.72844,                0.43003,                 1.6147,                 1.1273,                 1.2483,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.1434,                 0.7455,                 1.0873,                0.87742,                0.59574,                0.70925,                0.41518,                 1.6874,                  1.197,                 1.2678,              0.0014192,              0.0014192,              0.0014192
                     91,                  1.153,                0.77219,                 1.0475,                0.79742,                 0.6383,                0.70531,                 0.4068,                 1.6706,                 1.2054,                 1.2762,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0659,                0.77039,                 1.0686,                0.89275,                0.65957,                0.71396,                0.41872,                 1.5716,                 1.1561,                 1.2408,               0.001406,               0.001406,               0.001406
                     93,                 1.0487,                0.71665,                 1.0543,                0.80478,                0.65957,                0.70993,                0.42114,                 1.5696,                 1.1185,                 1.2292,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.0071,                0.71479,                 0.9797,                0.80141,                0.59574,                0.70439,                0.41344,                 1.6213,                 1.1211,                 1.2465,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.0852,                0.78041,                 1.0594,                0.82262,                 0.6383,                0.71947,                0.39857,                 1.6798,                 1.1779,                 1.2725,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.0421,                0.78208,                 1.0414,                 0.7728,                0.76596,                0.77203,                0.43192,                 1.4918,                 1.1026,                  1.174,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.0891,                0.76691,                 1.0457,                0.79728,                0.76596,                0.77619,                0.44737,                  1.463,                 1.0991,                 1.1685,               0.001373,               0.001373,               0.001373
                     98,                 1.0157,                0.72535,                 1.0381,                 0.7791,                0.74468,                0.77548,                0.44877,                 1.5014,                 1.1273,                 1.1824,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.0333,                0.73857,                 1.0511,                0.73219,                0.76596,                0.76894,                0.43979,                 1.5454,                 1.1359,                 1.1972,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.0342,                0.70825,                 1.0098,                0.69916,                0.76596,                0.75636,                0.42735,                 1.5961,                 1.1377,                 1.2221,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.0427,                0.70982,                 1.0085,                 0.7468,                0.69042,                0.75479,                0.45192,                 1.5369,                 1.1539,                  1.204,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.0737,                0.68802,                 1.0706,                0.75608,                 0.6595,                0.71911,                0.42077,                 1.5959,                 1.2346,                  1.243,                0.00134,                0.00134,                0.00134
                    103,                  1.171,                0.72995,                 1.0753,                0.76225,                0.65957,                0.70986,                0.40126,                 1.6507,                 1.3043,                 1.2833,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.1297,                0.73411,                 1.0599,                 0.7563,                0.61702,                0.67725,                0.40934,                 1.5374,                 1.2686,                 1.2458,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.0689,                0.68947,                  1.007,                0.79218,                0.57447,                0.67116,                0.41085,                 1.4973,                 1.2431,                 1.2176,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.0413,                0.68818,                 1.0221,                0.76994,                0.57447,                0.67002,                0.40416,                 1.5177,                 1.2582,                 1.2188,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.0225,                0.71243,                 1.0352,                0.79967,                0.59455,                0.69513,                0.40963,                 1.5374,                 1.2698,                 1.2207,               0.001307,               0.001307,               0.001307
                    108,                  1.048,                 0.7096,                  1.036,                0.91405,                0.55319,                0.70751,                0.38276,                 1.5553,                 1.3563,                 1.2381,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.0003,                0.66154,                 1.0215,                0.91433,                0.55319,                0.71055,                0.40079,                 1.5536,                 1.3064,                 1.2207,              0.0012938,              0.0012938,              0.0012938
                    110,                0.96653,                0.65613,                 1.0038,                0.92172,                0.55319,                 0.7166,                0.40379,                 1.5431,                 1.2332,                 1.2206,              0.0012872,              0.0012872,              0.0012872
                    111,                0.97552,                0.66569,                 1.0281,                0.93017,                0.55319,                0.71299,                0.40014,                 1.5938,                 1.2473,                 1.2327,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.0627,                0.69226,                 1.0354,                0.88711,                0.61702,                0.75194,                0.42293,                 1.5683,                 1.1049,                 1.2213,               0.001274,               0.001274,               0.001274
                    113,                 0.9827,                 0.6628,                0.99556,                   0.87,                0.65957,                0.76517,                0.44348,                 1.5222,                 1.0807,                 1.1887,              0.0012674,              0.0012674,              0.0012674
                    114,                0.94163,                 0.6667,                 0.9882,                0.82486,                0.70146,                0.77011,                 0.4486,                 1.5083,                 1.1458,                 1.1763,              0.0012608,              0.0012608,              0.0012608
                    115,                0.95686,                0.66405,                0.99095,                0.86131,                0.68085,                0.77239,                0.42299,                 1.5831,                  1.207,                 1.1935,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.0765,                0.69024,                 1.0405,                0.93877,                0.65259,                0.78122,                0.42312,                 1.5535,                 1.0669,                 1.1996,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.0084,                0.77106,                 1.0234,                0.91099,                0.65344,                0.77528,                0.42505,                  1.508,                   1.08,                 1.1912,               0.001241,               0.001241,               0.001241
                    118,                 1.0397,                0.72304,                 1.0275,                0.93516,                0.61702,                0.76697,                0.41809,                 1.5152,                 1.1385,                 1.1996,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.0061,                0.69731,                 1.0145,                 0.8977,                 0.6383,                0.76563,                0.42204,                  1.573,                 1.1655,                 1.2235,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.0234,                0.70605,                 1.0193,                0.88695,                0.65957,                0.74315,                0.42465,                 1.6247,                 1.2418,                 1.2477,              0.0012212,              0.0012212,              0.0012212
                    121,                0.93725,                0.63352,                0.99687,                 0.9636,                0.61702,                 0.7457,                0.42607,                 1.5964,                 1.2967,                 1.2466,              0.0012146,              0.0012146,              0.0012146
                    122,                0.93653,                0.64384,                0.99325,                0.93764,                0.63984,                0.73262,                0.41369,                 1.5773,                 1.3031,                 1.2365,               0.001208,               0.001208,               0.001208
                    123,                0.94657,                0.65049,                 1.0109,                0.90975,                 0.6383,                0.75413,                0.42784,                 1.6032,                 1.2772,                 1.2393,              0.0012014,              0.0012014,              0.0012014
